附件1,,,,,,,,,,,,,,,,,,,,,
白酒抽样监测结果汇总表(第三批）,,,,,,,,,,,,,,,,,,,,,
序号,受检单位,生产地点,经度,纬度,单位,样品名称,规格型号,样品等级,生产日期(批号),综合判定,抽样地点,抽样日期,报告编号,己酸乙酯,乳酸乙酯,乳酸乙酯/乙酸乙酯,乙酸乙酯,酒精度,邻苯二甲酸二（2-乙基）己酯(DEHP),邻苯二甲酸二丁酯(DBP),邻苯二甲酸二异壬酯(DINP)
17,翟常青,辽宁,123.43,41.8,龙泉口酒业有限公司,东北纯粮,500ml/瓶 42%vol,一级,20140723,合格,邯山区滏漳路东段金鼎烟酒门市,3/11/15,邯检(S)字(2015)第(L0182)号,0.60～2.50 | 0.93,,,,42.0±1.0 | 42.4,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
18,翟常青,河北,114.52,38.05,避暑山庄企业集团酒业有限公司,山庄老酒,500ml/瓶 42%vol,,201309,合格,邯山区滏漳路东段金鼎烟酒门市,3/11/15,邯检(S)字(2015)第(L0183)号,1.20～2.80 | 1.41,,,,42.0±1.0 | 42.3,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
19,周建敏,黑龙江,,,江省龙江家园酒业有限公司,龙江家园,500ml/瓶 42%vol,,162,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,3/11/15,邯检(S)字(2015)第(L0184)号,,,,,42.0±1.0 | 42.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
20,周建敏,黑龙江,,,江省老村长酒业有限公司,老村长,450ml/瓶 42%vol,一级,12/15/14,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,3/11/15,邯检(S)字(2015)第(L0185)号,0.60～2.50 | 1.71,,,,42.0±1.0 | 42.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
21,户兰平,河北,114.52,38.05,衡水老白干酒业股份有限公司,十八酒坊,500ml/瓶 42.8%vol,一级,2014122833,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,3/12/15,邯检(S)字(2015)第(L0189)号,≤0.03 | 未检出,≥0.4 | 1.2,≥0.8 | 1.3,,42.8±1.0 | 43.0,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
22,户兰平,湖北,114.3,30.6,枝江酒业股份有限公司,枝江王,500ml/瓶  42.8%vol,优级,20140430,不合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,3/12/15,邯检(S)字(2015)第(L0190)号,1.20～2.80 | 0.91,,,,52.0±1.0 | 52.3,≤1.5 | 未检出,≤0.3 | 0.4,≤9.0 | 未检出
23,阳光超市新世纪店,黑龙江,,,黑龙江酿酒有限公司,中粮白,500ml/瓶 42%vol,一级,20141023,合格,中华大街与人民路交叉口东北角,3/12/15,邯检(S)字(2015)第(L0209)号,0.60～2.50 | 1.20,,,,42.0±1.0 | 42.5,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
24,阳光超市新世纪店,安徽,117.25,31.83,口子酒业股份有限公司,口子酒,41%vol 500ml/瓶,,20130416,合格,人民路与中华街口,3/12/15,邯检(S)字(2015)第(L0210)号,/ | 0.87,,,,41.0±1.0 | 41.5,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
25,阳光超市新世纪店,四川,104.07,30.67,绵竹剑南春酒厂有限公司,绵竹大曲酒（珍品）,46%vol 475ml/瓶,优级,20140813,合格,人民路与中华街口,3/12/15,邯检(S)字(2015)第(L0211)号,0.60～2.50 | 1.85,,,,46.0±1.0 | 46.1,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
1,美食林滏东店,四川,104.07,30.67,绵竹剑南春酒厂有限公司,绵竹大曲,475ml/瓶 46%vol,优级,2013.12.16,合格,和平路与滏东路交叉口,4/9/15,邯检(S)字(2015)第(L0310)号,1.20～2.80 | 1.57,,,,46.0±1.0 | 45.3,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
