附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
68,美食林集团（千鹤店）,5S压榨一级花生油,1L/桶,一级,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0344)号,
69,美食林集团（千鹤店）,花生芝麻调和油,5L/桶,调和油,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0345)号,
70,美食林集团（千鹤店）,五湖一级大豆油,5L/桶,一级,合格,建设大街与联防路交叉口西北角,邯检(S)字(2015)第(L0346)号,
71,美食林集团（千鹤店）,金泸州（白酒）,52%vol  475ml,,合格,建设大街与联防路交叉口西北角,邯检(S)字(2015)第(L0347)号,
72,美食林集团（千鹤店）,宋坊衡水老白干（白酒）,41%vol  500ml/瓶,,合格,建设大街与联防路交叉口西北角,邯检(S)字(2015)第(L0348)号,
73,美食林集团（千鹤店）,西凤品味酒,52%vol  500ml,一级,合格,建设大街与联防路交叉口西北角,邯检(S)字(2015)第(L0349)号,
74,美食林集团（千鹤店）,椰子糖,零售称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0350)号,
75,美食林集团（千鹤店）,双喜水果糖,,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0351)号,
76,美食林集团（千鹤店）,特制椰子糖,零售称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0352)号,
77,美食林集团（千鹤店）,榴莲糖,散装称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0353)号,
78,美食林集团（千鹤店）,花生牛轧充气糖果,散装称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0354)号,
79,美食林集团（千鹤店）,春光开心榴莲球,散装称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0355)号,
80,美食林集团（千鹤店）,马大姐芒果味硬糖,散装称重,,合格,建设大街与联防路路口,邯检(S)字(2015)第(L0356)号,
81,新赵都超市光明店,花生芝麻香食用调和油,5L/桶,,合格,光明路光明桥,邯检(S)字(2015)第(L0357)号,
82,新赵都超市光明店,大豆油,5L/桶,一级,合格,光明路光明桥,邯检(S)字(2015)第(L0358)号,
83,新赵都超市光明店,玉米胚芽油,1升/桶,,合格,光明路光明桥,邯检(S)字(2015)第(L0359)号,
84,新赵都超市光明店,棉籽油,5L/桶,二级,合格,光明路光明桥,邯检(S)字(2015)第(L0360)号,
85,新赵都超市光明店,压榨玉米油,1.6升/桶,一级,合格,光明路光明桥,邯检(S)字(2015)第(L0361)号,
86,新赵都超市光明店,一级大豆油,1.8升/桶,一级,合格,光明路光明桥,邯检(S)字(2015)第(L0362)号,
87,新赵都超市光明店,平原神枪手 二锅头,400ml/瓶,一级,合格,光明路光明桥,邯检(S)字(2015)第(L0363)号,
88,新赵都超市光明店,沱牌酒,480ml/瓶 45%vol,,合格,光明路光明桥,邯检(S)字(2015)第(L0364)号,
89,新赵都超市光明店,东北高粱酒,1.8L/壶,,合格,光明路光明桥,邯检(S)字(2015)第(L0365)号,
90,阳光超市鑫域店,花生芝麻调和油,5L/桶,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0366)号,
91,阳光超市鑫域店,花生浓香型调和油,5升/桶,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0367)号,
92,阳光超市鑫域店,元宝牌大豆油,5升/桶,一级,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0368)号,
93,阳光超市鑫域店,食用调和油,900毫升/桶,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0369)号,
94,阳光超市鑫域店,牛栏山二锅头白酒,500ml/瓶 56%vol,一级,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0370)号,
95,阳光超市鑫域店,中粮白（白酒）,500ml/瓶 42%vol,一级,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0371)号,
96,阳光超市鑫域店,全兴精酿窖酒（白酒）,500ml/瓶 50%vol,一级,不合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0372)号,
97,阳光超市鑫域店,枝江精品白酒,500ml/瓶 42%vol,优级,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0373)号,
98,阳光超市鑫域店,薄荷味硬糖,,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0374)号,
99,阳光超市鑫域店,大白兔奶糖,,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0375)号,
100,阳光超市鑫域店,雅客卡布奇诺咖啡糖,,,合格,联防路与世纪大街东南角,邯检(S)字(2015)第(L0376)号,
101,邯郸市邯山区会英千喜鹊冷鲜肉,生鲜肉（猪肉）,,,符合,农林路农贸市场,邯检(S)字(2015)第(L0377)号,
102,邯郸市邯山区顺华冷鲜肉,冷鲜肉（猪肉）,,,符合,农林路农贸市场,邯检(S)字(2015)第(L0378)号,
103,邯郸市邯山区大红门冷鲜肉门市,冷鲜肉（猪肉）,,,符合,农林路农贸市场,邯检(S)字(2015)第(L0379)号,
104,邯郸市邯山区众品冷鲜肉店,冷鲜肉（猪肉）,计量销售,,符合,农林路农贸市场,邯检(S)字(2015)第(L0380)号,
105,邯郸市邯山区志杰冷鲜肉店,冷鲜肉（猪肉）,计量销售,,符合,农林路农贸市场,邯检(S)字(2015)第(L0381)号,
106,邯郸市邯山区雨润冷鲜肉店,冷鲜肉（猪肉）,计量销售,,符合,农林路农贸市场东排1号,邯检(S)字(2015)第(L0382)号,
107,邯郸市邯山区广臣双汇冷鲜肉,冷鲜肉（猪肉）,计量销售,,符合,农林路农贸市场,邯检(S)字(2015)第(L0383)号,
108,邯郸市鑫建肉类食品有限公司,生鲜肉（猪肉）,,,符合,黄粱梦胡村村南,邯检(S)字(2015)第(L0384)号,
109,南岩村生猪定点屠宰厂,生鲜肉（猪肉）,,,符合,南沿村南街村内,邯检(S)字(2015)第(L0385)号,
110,武安市佳润冷鲜肉厂,生鲜肉（猪肉）,,,符合,该厂内,邯检(S)字(2015)第(L0386)号,
111,邯郸市好日子食品有限公司,生鲜肉（猪肉）,,,符合,该厂内,邯检(S)字(2015)第(L0387)号,
112,邯山区北张庄魏保文定点屠宰,生鲜肉（猪肉）,,,符合,该厂内,邯检(S)字(2015)第(L0388)号,
113,磁县讲武城镇生猪屠宰点,生鲜肉（猪肉）,,,符合,该厂内,邯检(S)字(2015)第(L0389)号,
114,张庆顺,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0390)号,
115,邯郸市邯山区滏园金都冷鲜肉,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0391)号,
116,王计如,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0392)号,
117,邯郸市邯山区东郭千喜鹤冷鲜肉店,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0393)号,
118,赵强,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0394)号,
119,赵龙,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0395)号,
120,杨宁华,冷鲜肉（猪肉）,,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0396)号,
121,李如英,冷鲜肉（猪肉）,计量销售,,符合,滏漳路农贸市场,邯检(S)字(2015)第(L0397)号,
122,阳光超市鑫域店,冷鲜肉（猪肉）,,,符合,,邯检(S)字(2015)第(L0398)号,
123,美食林集团滏东店,冷鲜肉（猪肉）,,,符合,滏东大街,邯检(S)字(2015)第(L0399)号,
124,美食林集团滏东店亨润专卖,冷鲜肉（猪肉）,,,符合,该超市,邯检(S)字(2015)第(L0400)号,
125,美食林集团滏东店双汇专卖,冷鲜肉（猪肉）,,,符合,该超市,邯检(S)字(2015)第(L0401)号,
126,美食林集团滏东店千喜鹤专卖,冷鲜肉（猪肉）,,,符合,该超市,邯检(S)字(2015)第(L0402)号,
127,美食林集团新宇店自营,冷鲜肉（猪肉）,,,合格,该超市,邯检(S)字(2015)第(L0403)号,
128,美食林集团新宇店千喜鹤专卖,冷鲜肉（猪肉）,,,符合,该超市,邯检(S)字(2015)第(L0404)号,
129,美食林集团新宇店双汇专卖,冷鲜肉（猪肉）,,,符合,该超市,邯检(S)字(2015)第(L0405)号,
130,美食林集团(新宇)店雨润专卖,冷鲜肉（猪肉）,,,符合,该店,邯检(S)字(2015)第(L0406)号,
131,老崔烧鸡,猪耳朵,计量称重,,合格,望岭路和陵西路东南角,邯检(S)字(2015)第(L0407)号,
132,老崔烧鸡,猪肘子,计量称重,,合格,望岭路和陵西路东南角,邯检(S)字(2015)第(L0408)号,
133,清真回民酱牛肉店,酱牛肉（清真）,计量称重,,合格,望岭路和陵西路东南角,邯检(S)字(2015)第(L0409)号,
