附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
45,邯郸县滏漳路便利超市,双沟大曲酒,500ml/瓶 50%vol,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0180)号,
46,邯郸县滏漳路便利超市,话梅糖,散装,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0181)号,
47,翟常青,东北纯粮,500ml/瓶 42%vol,一级,合格,邯山区滏漳路东段金鼎烟酒门市,邯检(S)字(2015)第(L0182)号,
48,翟常青,山庄老酒,500ml/瓶 42%vol,,合格,邯山区滏漳路东段金鼎烟酒门市,邯检(S)字(2015)第(L0183)号,
49,周建敏,龙江家园,500ml/瓶 42%vol,,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,邯检(S)字(2015)第(L0184)号,
50,周建敏,老村长,450ml/瓶 42%vol,一级,合格,邯山区光明北大街与水厂路交叉口南角烟酒门市,邯检(S)字(2015)第(L0185)号,
51,邯郸县滏漳路便利超市,金丝猴奶糖,,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0186)号,
52,邯郸县滏漳路便利超市,一级花生油,1.8升/桶,,合格,滏漳路东段路北,邯检(S)字(2015)第(L0187)号,
53,户兰平,十八酒坊,500ml/瓶 42.8%vol,一级,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0189)号,
54,户兰平,枝江王,500ml/瓶  42.8%vol,优级,不合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0190)号,
55,户兰平,宴友花生油,5升/桶,压榨一级,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0191)号,
56,户兰平,玉米胚芽油,5升/桶,,合格,邯郸市丛台区中华北大街质监局楼下兰平烟酒副食门市,邯检(S)字(2015)第(L0192)号,
57,贸易粮油商行,花生芝麻调和油（分装）,5升/桶,,合格,邯山区贸易街市场29号,邯检(S)字(2015)第(L0193)号,
58,赵玉华,精炼棉籽油,5升/桶,,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0194)号,
59,赵玉华,大豆油,5升/桶,一级,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0195)号,
60,赵玉华,花生芝麻调和油,5升/桶,,合格,邯山区邯山街与劳动路交叉口南行10米路西一点利粮油店,邯检(S)字(2015)第(L0196)号,
,贸易粮油店,浓香菜籽油,4.5L/壶,,合格,邯山区贸易街市场29号,邯检(S)字(2015)第(L0197)号,
,徐爱云,好嘉果园,,,合格,邯山区邯山街与劳动路交叉口西行10米路南粒香坊干果行,邯检(S)字(2015)第(L0198)号,
